描述,"	input1","	input2","	input3","	output"
恢复出厂设置,\x02\xF0\x030D0100.,,,
配置TransMode为5,\x02\xF0\x03060F205.,,,\x53\x4C\x54\x4D\x01\x00\x01\x01\x01\x02\x03\x04\x05\x00\x00\x00\x09\x00\x00\x00060F205\x06.
查询目前TransMode值,\x53\x4C\x54\x4D\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x0B\x00\x00\x00\x02\xF0\x03060F20?.,,,\x53\x4C\x54\x4D\x01\x00\x01\x01\x01\x02\x03\x04\x05\x00\x00\x00\x09\x00\x00\x00060F205\x06.
查询目前TransMode值,\x53\x4C\x54\x4D,\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x0B\x00\x00\x00\x02\xF0\x03060F20?.,,\x53\x4C\x54\x4D\x01\x00\x01\x01\x01\x02\x03\x04\x05\x00\x00\x00\x09\x00\x00\x00060F205\x06.
查询目前TransMode值,\x53\x4C\x54\x4D\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x0B\x00\x00\x00,\x02\xF0\x03060F20?.,,\x53\x4C\x54\x4D\x01\x00\x01\x01\x01\x02\x03\x04\x05\x00\x00\x00\x09\x00\x00\x00060F205\x06.
查询目前设备版本号,\x53\x4C\x54\x4D\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x0B\x00\x00\x00\x02\xF0\x030D1302?.,,,\x53\x4C\x54\x4D\x01\x00\x01\x01\x01\x02\x03\x04\x05\x00\x00\x000D1302:AXXXXX.
查询目前设备版本号,\x53\x4C\x54\x4D,\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x0B\x00\x00\x00\x02\xF0\x030D1302?.,,\x53\x4C\x54\x4D\x01\x00\x01\x01\x01\x02\x03\x04\x05\x00\x00\x000D1302:AXXXXX.
查询目前设备版本号,\x53\x4C\x54\x4D\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x0B\x00\x00\x00,\x02\xF0\x030D1302?.,,\x53\x4C\x54\x4D\x01\x00\x01\x01\x01\x02\x03\x04\x05\x00\x00\x000D1302:AXXXXX.
发送触发指令,\x53\x4C\x54\x4D\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x04\x00\x00\x00\x02\xF4\x03.,,,\x53\x4C\x54\x4D\x01\x01\x00\x01\x01\x02\x03\x04\x05\x00\x00\x00
发送触发指令,\x53\x4C\x54\x4D,"\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x04\x00\x00\x00\x02\xF4\x03.	",,\x53\x4C\x54\x4D\x01\x01\x00\x01\x01\x02\x03\x04\x05\x00\x00\x00
发送触发指令,\x53\x4C\x54\x4D\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x04\x00\x00\x00,\x02\xF4\x03.,,\x53\x4C\x54\x4D\x01\x01\x00\x01\x01\x02\x03\x04\x05\x00\x00\x00
恢复出厂设置,\x53\x4C\x54\x4D\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x0A\x00\x00\x00\x02\xF0\x030D0100.,,,0D0100\x06.
配置TransMode为5,\x02\xF0\x03060F205.,,,\x53\x4C\x54\x4D\x01\x00\x01\x01\x01\x02\x03\x04\x05\x00\x00\x00\x09\x00\x00\x00060F205\x06.
恢复出厂设置,\x53\x4C\x54\x4D,\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x0A\x00\x00\x00\x02\xF0\x030D0100.,,
配置TransMode为5,\x02\xF0\x03060F205.,,,\x53\x4C\x54\x4D\x01\x00\x01\x01\x01\x02\x03\x04\x05\x00\x00\x00\x09\x00\x00\x00060F205\x06.
恢复出厂设置,\x53\x4C\x54\x4D\x01\x01\x01\x00\x01\x02\x03\x04\x05\x00\x00\x00\x0A\x00\x00\x00,\x02\xF0\x030D0100.,,
